game_id,date,venue,city,neutral,match_type,overs,team_inn1,team_inn2,toss_winner,toss_decision,match_winner,win_type,margin,umpires,man_of_match
366711,2009-01-07,Westpac Stadium,Wellington,0,ODI,50,West Indies,New Zealand,New Zealand,field,New Zealand,wickets,7.0,MR Benson|AL Hill,DL Vettori
378753,2009-01-10,Shere Bangla National Stadium,Mirpur,0,ODI,50,Zimbabwe,Bangladesh,Bangladesh,field,Zimbabwe,runs,38.0,BR Doctrove|Nadir Shah,E Chigumbura
378755,2009-01-14,Shere Bangla National Stadium,Mirpur,0,ODI,50,Sri Lanka,Bangladesh,Bangladesh,field,Bangladesh,wickets,5.0,BR Doctrove|Nadir Shah,Shakib Al Hasan
351684,2009-01-16,Melbourne Cricket Ground,,0,ODI,50,Australia,South Africa,Australia,bat,South Africa,wickets,3.0,IJ Gould|BNJ Oxenford,JA Morkel
351685,2009-01-18,Bellerive Oval,Hobart,0,ODI,50,Australia,South Africa,South Africa,field,Australia,runs,5.0,IJ Gould|RJ Tucker,SE Marsh
385749,2009-01-20,National Stadium,Karachi,0,ODI,50,Sri Lanka,Pakistan,Sri Lanka,bat,Pakistan,wickets,8.0,NJ Llong|Nadeem Ghauri,Salman Butt
385750,2009-01-21,National Stadium,Karachi,0,ODI,50,Sri Lanka,Pakistan,Pakistan,field,Sri Lanka,runs,129.0,Asad Rauf|NJ Llong,TM Dilshan
351686,2009-01-23,Sydney Cricket Ground,,0,ODI,50,Australia,South Africa,Australia,bat,South Africa,wickets,3.0,IJ Gould|RJ Tucker,JA Morkel
378759,2009-01-23,Shere Bangla National Stadium,Mirpur,0,ODI,50,Zimbabwe,Bangladesh,Bangladesh,field,Bangladesh,wickets,6.0,Enamul Haque|Zameer Haider,Mashrafe Mortaza
385751,2009-01-24,Gaddafi Stadium,Lahore,0,ODI,50,Sri Lanka,Pakistan,Sri Lanka,bat,Sri Lanka,runs,234.0,Asad Rauf|NJ Llong,TM Dilshan
351687,2009-01-26,Adelaide Oval,,0,ODI,50,Australia,South Africa,Australia,bat,South Africa,wickets,8.0,IJ Gould|DJ Harper,AB de Villiers
386530,2009-01-28,Rangiri Dambulla International Stadium,,0,ODI,50,Sri Lanka,India,India,field,India,wickets,6.0,HDPK Dharmasena|BG Jerling,ST Jayasuriya
351688,2009-01-30,Western Australia Cricket Association Ground,Perth,0,ODI,50,South Africa,Australia,South Africa,bat,South Africa,runs,39.0,IJ Gould|BNJ Oxenford,HM Amla
386531,2009-01-31,R Premadasa Stadium,Colombo,0,ODI,50,India,Sri Lanka,India,bat,India,runs,15.0,BG Jerling|MG Silva,I Sharma
385025,2009-01-31,Gymkhana Club Ground,Nairobi,0,ODI,50,Kenya,Zimbabwe,Kenya,bat,Zimbabwe,wickets,4.0,SR Modi|TH Wijewardene,
