game_id,date,venue,city,neutral,match_type,overs,team_inn1,team_inn2,toss_winner,toss_decision,match_winner,win_type,margin,umpires,man_of_match
386530,2009-01-28,Rangiri Dambulla International Stadium,,0,ODI,50,Sri Lanka,India,India,field,India,wickets,6.0,HDPK Dharmasena|BG Jerling,ST Jayasuriya
386531,2009-01-31,R Premadasa Stadium,Colombo,0,ODI,50,India,Sri Lanka,India,bat,India,runs,15.0,BG Jerling|MG Silva,I Sharma
386532,2009-02-03,R Premadasa Stadium,Colombo,0,ODI,50,India,Sri Lanka,India,bat,India,runs,147.0,BG Jerling|MG Silva,Yuvraj Singh
386533,2009-02-05,R Premadasa Stadium,Colombo,0,ODI,50,India,Sri Lanka,India,bat,India,runs,67.0,HDPK Dharmasena|BG Jerling,G Gambhir
386534,2009-02-08,R Premadasa Stadium,Colombo,0,ODI,50,Sri Lanka,India,Sri Lanka,bat,Sri Lanka,runs,68.0,BG Jerling|TH Wijewardene,KC Sangakkara
366623,2009-03-03,McLean Park,Napier,0,ODI,50,India,New Zealand,India,bat,India,runs,53.0,AL Hill|RE Koertzen,MS Dhoni
366626,2009-03-06,Westpac Stadium,Wellington,0,ODI,50,India,New Zealand,India,bat,no result,,,RE Koertzen|EA Watkin,
366627,2009-03-08,AMI Stadium,Christchurch,0,ODI,50,India,New Zealand,New Zealand,field,India,runs,58.0,GAV Baxter|RE Koertzen,SR Tendulkar
366624,2009-03-11,Seddon Park,Hamilton,0,ODI,50,New Zealand,India,New Zealand,bat,India,runs,84.0,GAV Baxter|RE Koertzen,V Sehwag
366625,2009-03-14,Eden Park,Auckland,0,ODI,50,India,New Zealand,India,bat,New Zealand,wickets,8.0,GAV Baxter|RE Koertzen,JD Ryder
377313,2009-06-26,"Sabina Park, Kingston",Jamaica,0,ODI,50,India,West Indies,India,bat,India,runs,20.0,NJ Llong|NA Malcolm,Yuvraj Singh
377314,2009-06-28,"Sabina Park, Kingston",Jamaica,0,ODI,50,India,West Indies,India,bat,West Indies,wickets,8.0,NJ Llong|NA Malcolm,R Rampaul
377315,2009-07-03,"Beausejour Stadium, Gros Islet",St Lucia,0,ODI,50,West Indies,India,India,field,India,wickets,6.0,CR Duncan|NJ Llong,MS Dhoni
377316,2009-07-05,"Beausejour Stadium, Gros Islet",St Lucia,0,ODI,50,West Indies,India,India,field,no result,,,CR Duncan|NJ Llong,
403382,2009-09-11,R Premadasa Stadium,Colombo,1,ODI,50,New Zealand,India,New Zealand,bat,India,wickets,6.0,HDPK Dharmasena|BR Doctrove,A Nehra
403381,2009-09-12,R Premadasa Stadium,Colombo,0,ODI,50,Sri Lanka,India,Sri Lanka,bat,Sri Lanka,runs,139.0,HDPK Dharmasena|BR Doctrove,AD Mathews
403383,2009-09-14,R Premadasa Stadium,Colombo,0,ODI,50,India,Sri Lanka,India,bat,India,runs,46.0,EAR de Silva|BR Doctrove,SR Tendulkar
